#Read position (bp)	Clipping profile
103.0	0.23551577955723035
104.0	0.23551577955723035
105.0	0.23551577955723035
106.0	0.20411367561626625
107.0	0.20411367561626625
108.0	0.20411367561626625
109.0	0.20411367561626625
110.0	0.23551577955723035
111.0	0.23551577955723035
112.0	0.23551577955723035
113.0	0.2198147275867483
114.0	0.2198147275867483
115.0	0.23551577955723035
116.0	0.23551577955723035
117.0	0.2826189354686764
118.0	0.2983199874391584
119.0	0.2983199874391584
120.0	0.2826189354686764
121.0	0.2826189354686764
122.0	0.2826189354686764
123.0	0.2826189354686764
124.0	0.2669178834981944
125.0	0.25121683152771235
126.0	0.23551577955723035
127.0	0.23551577955723035
128.0	0.23551577955723035
129.0	0.2198147275867483
130.0	0.15701051970482022
131.0	0.17271157167530224
132.0	0.15701051970482022
133.0	0.15701051970482022
134.0	0.1413094677343382
135.0	0.1413094677343382
136.0	0.10990736379337415
137.0	0.09420631182289213
138.0	0.09420631182289213
139.0	0.09420631182289213
140.0	0.09420631182289213
141.0	0.09420631182289213
142.0	0.09420631182289213
143.0	0.09420631182289213
144.0	0.09420631182289213
145.0	0.09420631182289213
146.0	0.09420631182289213
147.0	0.09420631182289213
148.0	0.09420631182289213
149.0	0.09420631182289213
150.0	0.09420631182289213
151.0	0.09420631182289213
152.0	0.09420631182289213
153.0	0.09420631182289213
154.0	0.09420631182289213
155.0	0.10990736379337415
156.0	0.10990736379337415
157.0	0.10990736379337415
158.0	0.10990736379337415
159.0	0.10990736379337415
160.0	0.25121683152771235
161.0	0.25121683152771235
162.0	0.23551577955723035
163.0	0.18841262364578426
164.0	0.1413094677343382
165.0	0.10990736379337415
166.0	0.10990736379337415
167.0	0.10990736379337415
168.0	0.10990736379337415
169.0	0.10990736379337415
170.0	0.10990736379337415
171.0	0.10990736379337415
172.0	0.09420631182289213
173.0	0.09420631182289213
174.0	0.09420631182289213
175.0	0.2826189354686764
176.0	0.2983199874391584
177.0	0.31402103940964043
178.0	0.31402103940964043
179.0	0.2826189354686764
180.0	0.25121683152771235
181.0	0.2669178834981944
182.0	0.2669178834981944
183.0	0.2669178834981944
184.0	0.2669178834981944
185.0	0.2669178834981944
186.0	0.23551577955723035
187.0	0.2198147275867483
188.0	0.2198147275867483
189.0	0.23551577955723035
190.0	0.2198147275867483
191.0	0.20411367561626625
192.0	0.15701051970482022
193.0	0.15701051970482022
194.0	0.15701051970482022
195.0	0.15701051970482022
196.0	0.15701051970482022
197.0	0.1413094677343382
198.0	0.1413094677343382
199.0	0.15701051970482022
200.0	0.1413094677343382
201.0	0.1413094677343382
202.0	0.17271157167530224
203.0	0.17271157167530224
204.0	0.15701051970482022
205.0	0.15701051970482022
206.0	0.17271157167530224
207.0	0.15701051970482022
208.0	0.15701051970482022
209.0	0.15701051970482022
210.0	0.15701051970482022
211.0	0.15701051970482022
212.0	0.15701051970482022
213.0	0.17271157167530224
214.0	0.17271157167530224
215.0	0.15701051970482022
216.0	0.1413094677343382
217.0	0.15701051970482022
218.0	0.17271157167530224
219.0	0.15701051970482022
220.0	0.1413094677343382
221.0	0.1413094677343382
222.0	0.1413094677343382
223.0	0.20411367561626625
224.0	0.20411367561626625
225.0	0.20411367561626625
226.0	0.8949599623174752
227.0	1.0205683780813315
228.0	1.0519704820222955
229.0	1.0519704820222955
230.0	0.9577641701994034
231.0	0.9420631182289214
232.0	0.9734652221698854
233.0	0.9734652221698854
234.0	0.9734652221698854
235.0	0.9734652221698854
236.0	0.9734652221698854
237.0	1.0362694300518136
238.0	1.0205683780813315
239.0	1.2403831056680799
240.0	1.444496781284346
241.0	1.4130946773433821
242.0	1.3031873135500078
243.0	1.3031873135500078
244.0	1.2560841576385617
245.0	1.2403831056680799
246.0	1.3031873135500078
247.0	1.3345894174909718
248.0	1.47589888522531
249.0	1.460197833254828
250.0	1.460197833254828
