ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_3116330,3293.531,0,132.5198,35,2789.97,0,111.2877,31,3651.682,0,133.3605,28,2620.315,0,124.8424,26,3276.831,0,97.5226,47,2951.346,0,119.0041,33,1959.483,0,71.18324,32,3135.246,0,107.0987,29,3654.634,0,122.3247,37,4409.919,0,136.0184,38,2572.283,0,93.95749,28,3283.346,0,126.6386,34,2221.68,0,59.55567,44,2637.074,0,122.1576,28,2517.918,0,90.66354,29,2637.722,0,96.51379,30
ILMN_1223358,884.8597,0,25.58474,54,731.584,0,23.94486,53,1017.468,0,39.13007,42,755.7721,0,25.87066,55,681.9686,0,24.96122,38,735.7825,0,23.85792,46,514.5832,0,24.6039,31,832.2249,0,33.58012,39,999.2195,0,41.94953,33,1054.32,0,45.18119,37,746.1038,0,27.83293,38,806.0541,0,37.59367,32,578.7571,0,26.36718,43,701.567,0,28.4142,46,683.7675,0,23.58193,57,687.9469,0,28.42365,49
ILMN_1240471,6942.388,0,155.1665,42,6418.764,0,134.8547,44,6406.357,0,155.2956,41,3855.371,0,90.02605,47,5987.839,0,129.2928,58,6815.711,0,143.0621,50,4508.768,0,105.1706,45,4462.153,0,114.4719,46,6216.614,0,175.4173,42,7562.592,0,156.8755,41,4167.881,0,109.3685,31,6407.82,0,169.1475,36,4928.967,0,156.0446,45,4629.206,0,147.8347,28,3544.166,0,90.03497,43,5164.494,0,111.5657,41
ILMN_2769680,1746.781,0,56.20009,41,1570.287,0,54.58278,49,1824.482,0,82.42109,42,1090.752,0,50.76285,31,1337.101,0,42.41027,49,1557.468,0,53.51063,41,1216.198,0,41.92409,41,1076.174,0,31.11852,58,1422.971,0,53.15584,37,1781.15,0,62.84905,42,1087.127,0,41.9444,51,1643.815,0,55.16473,51,1223.708,0,49.28075,49,1119.817,0,42.31292,43,953.7599,0,45.08953,40,1181.684,0,46.14645,38
ILMN_1243451,96.89848,0.2380952,6.655046,37,87.2411,0.2694235,3.894792,39,130.0112,0.05889724,10.29032,35,103.1057,0.09273183,5.478928,39,99.14635,0.1616541,6.725939,43,96.16122,0.1817043,5.674604,41,83.33036,0.1503759,5.373017,43,116.3234,0.06641604,6.500122,36,124.4401,0.06390978,8.708402,40,125.3934,0.09774436,10.10772,34,87.30416,0.1741855,4.576375,37,92.38171,0.2957394,6.928999,33,93.15527,0.1240602,5.481173,44,102.4421,0.08145364,8.633058,34,87.883,0.2318296,6.145417,29,88.7981,0.2017544,7.207994,27
ILMN_1255473,1441.288,0,47.92913,49,1397.157,0,69.16507,46,1440.233,0,37.68541,48,1318.088,0,90.72465,29,1134.003,0,39.69152,46,1378.673,0,58.99902,46,978.9642,0,45.01454,40,1578.129,0,90.7854,36,1700.83,0,67.66325,44,1582.315,0,73.12625,47,1171.845,0,49.39634,40,1585.987,0,65.17079,39,1113.281,0,54.41551,33,1123.938,0,77.90231,42,1061.808,0,40.55972,27,1281.631,0,54.77198,51
ILMN_2663410,61.32316,0.9711779,3.627668,40,55.12725,0.991228,2.862731,39,59.9656,0.9837093,3.716584,37,62.94408,0.7869674,4.385076,32,62.233,0.8734336,3.860796,36,55.03576,0.9899749,3.189716,34,58.68689,0.8170426,3.372765,44,61.28002,0.9022557,4.200819,34,63.24646,0.943609,4.531378,40,74.11585,0.8270677,5.956545,39,62.7284,0.8258145,3.197639,53,61.67282,0.9573935,3.920633,34,58.32269,0.9260651,3.799087,29,64.37004,0.7769424,5.458572,27,61.72463,0.8934837,3.430777,41,54.86146,0.9899749,3.874009,36
ILMN_2915716,164.3812,0.0112782,12.37938,35,132.8475,0.03007519,6.861534,38,138.4683,0.04135338,6.562083,41,137.4223,0.02005013,9.013214,30,157.857,0.00877193,13.64493,30,126.4946,0.04511278,5.35545,42,128.9431,0.007518797,7.759253,44,142.011,0.01378446,9.152261,33,145.1066,0.02130326,11.02081,36,152.1632,0.03383459,12.69925,26,131.6992,0.00877193,10.53177,41,139.4957,0.03884712,11.62433,32,118.5763,0.01754386,7.570022,39,147.8221,0.003759399,12.69604,39,121.2643,0.03383459,9.708519,29,122.3359,0.03007519,7.293382,39
ILMN_1254001,1091.641,0,36.09161,39,1046.093,0,31.04993,42,1323.618,0,29.34045,46,1093.603,0,35.95816,43,1290.34,0,26.07228,47,1192.248,0,40.11287,46,749.4432,0,22.87141,39,1227.779,0,43.17526,45,1274.332,0,49.56992,33,1331.937,0,40.33855,41,836.3425,0,31.56296,37,1151.077,0,63.56083,53,805.8828,0,26.12238,45,917.554,0,30.5487,45,963.2626,0,24.71478,46,1131.135,0,38.59914,43
ILMN_2665198,330.0691,0,16.01119,33,308.6887,0,16.1524,44,368.2488,0,16.84316,38,289.6964,0,12.05697,41,257.5433,0,12.91686,36,277.0308,0,12.75584,44,224.4338,0,10.98672,35,315.2982,0,18.52028,32,354.8491,0,23.09285,32,346.888,0,22.61157,39,303.7852,0,19.51776,28,283.2704,0,22.69738,24,223.7231,0,14.64384,43,256.151,0,16.34079,43,272.4291,0,12.13179,36,272.7891,0,13.54496,45
